NUMERODOSSIER;iddebiteur
13618185;8637
13618263;8638
13618404;8639
13618409;8640
13618537;8641
13618553;8642
13618609;8643
13618629;8644
13618631;8645
13618734;8646
13618797;8647
13618943;8648
13619003;8649
13619047;8650
13619158;8651
13619242;8652
13619311;8653
13619337;8654
13619392;8655
13619505;8656
13619538;8657
13619588;8658
13619728;8659
13619795;8660
13619900;8661
13620171;8662
13620179;8663
13620204;8664
13620214;8665
13620412;8666
13620516;8667
13620630;8668
13620642;8669
13620757;8670
13620782;8671
13620906;8672
13620920;8673
13620996;8674
13621014;8675
13621039;8676
13621200;8677
13621232;8678
13621298;8679
13621551;8680
13621643;8681
13621728;8682
13621914;8683
13621936;8684
13621992;8685
13622210;8686
13622440;8687
13622480;8688
13622769;8689
13622833;8690
13622864;8691
13622979;8692
13623445;8693
13623485;8694
13623514;8695
13623649;8696
13623798;8697
13623799;8698
13623949;8699
13624062;8700
13624077;8701
13624082;8702
13624143;8703
13624237;8704
13624420;8705
13624437;8706
13624559;8707
13624892;8708
13624897;8709
13624960;8710
13625030;8711
13625104;8712
13625207;8713
13625245;8714
13625367;8715
13625390;8716
13625450;8717
13625471;8718
13625624;8719
13625660;8720
13625685;8721
13625782;8722
13625890;8723
13625969;8724
13626075;8725
13626109;8726
13626307;8727
13626458;8728
13626585;8729
13626673;8730
13626765;8731
13627057;8732
13627200;8733
13627207;8734
13627401;8735
13627489;8736
13627507;8737
13627661;8738
13627672;8739
13627906;8740
13627921;8741
13628008;8742
13628038;8743
13628342;8744
13628425;8745
13628467;8746
13628508;8747
13628638;8748
13628878;8749
13629115;8750
13629160;8751
13629301;8752
13629394;8753
13629530;8754
13629612;8755
13629695;8756
13629740;8757
13629790;8758
13629836;8759
13629916;8760
13629953;8761
13629991;8762
13630030;8763
13630146;8764
13630163;8765
13630424;8766
13630557;8767
13630776;8768
13630791;8769
13630859;8770
13630973;8771
13631215;8772
13631293;8773
13631346;8774
13631356;8775
13631484;8776
13631526;8777
13631572;8778
13631600;8779
13631686;8780
13631711;8781
13631761;8782
13631767;8783
13631838;8784
13631853;8785
13631865;8786
13631915;8787
13631951;8788
13632013;8789
13632148;8790
13632212;8791
13632285;8792
13632323;8793
13632540;8794
13632643;8795
13632785;8796
13632797;8797
13632855;8798
13632943;8799
13632987;8800
13633097;8801
13633155;8802
13633215;8803
13633248;8804
13633343;8805
13633367;8806
13633372;8807
13633458;8808
13633477;8809
13633520;8810
13633544;8811
13633566;8812
13633574;8813
13633614;8814
13633634;8815
13633661;8816
13633766;8817
13633776;8818
13633782;8819
13633792;8820
13633816;8821
13633840;8822
13633850;8823
13633904;8824
13633909;8825
13633958;8826
13633965;8827
13633979;8828
13633998;8829
13634036;8830
13634042;8831
13634045;8832
13634047;8833
13634083;8834
13634117;8835
13634136;8836
13634263;8837
13634293;8838
13634355;8839
13634367;8840
13634380;8841
13634388;8842
13634391;8843
13634421;8844
13634440;8845
13634443;8846
13634477;8847
13634531;8848
13634545;8849
13634645;8850
13634671;8851
13634685;8852
13634878;8853
13634896;8854
13634931;8855
13634938;8856
13634948;8857
13634981;8858
13635011;8859
13635034;8860
13635042;8861
13635052;8862
13635068;8863
13635091;8864
13635156;8865
13635163;8866
13635170;8867
13635178;8868
13635193;8869
13635213;8870
13635270;8871
13635286;8872
13635325;8873
13635437;8874
13635446;8875
13635466;8876
13635515;8877
13635536;8878
13635545;8879
13635563;8880
13635609;8881
13635698;8882
13635774;8883
13635782;8884
13635827;8885
13635906;8886
13635911;8887
13635917;8888
13635944;8889
13636075;8890
13636143;8891
13636195;8892
13636197;8893
13636207;8894
13636233;8895
13636238;8896
13636349;8897
13636386;8898
13636444;8899
13636451;8900
13636470;8901
13636486;8902
13636501;8903
13636543;8904
13636553;8905
13636568;8906
13636603;8907
13636611;8908
13636621;8909
13636697;8910
13636825;8911
13636832;8912
13636897;8913
13636921;8914
13637023;8915
13637036;8916
13637054;8917
13637114;8918
13637120;8919
13637124;8920
13637250;8921
13637276;8922
13637354;8923
13637362;8924
13637389;8925
13637418;8926
13637430;8927
13637431;8928
13637461;8929
13637462;8930
13637471;8931
13637500;8932
13637542;8933
13637560;8934
13637592;8935
13637620;8936
13637644;8937
13637674;8938
13637688;8939
13637718;8940
13637759;8941
13637771;8942
13637799;8943
13637820;8944
13637835;8945
13637841;8946
13637864;8947
13637890;8948
13637911;8949
13637948;8950
13637949;8951
13638037;8952
13638093;8953
13638107;8954
13638121;8955
13638158;8956
13638226;8957
13638233;8958
13638268;8959
13638278;8960
13638284;8961
13638285;8962
13638365;8963
13638370;8964
13638391;8965
13638411;8966
13638477;8967
13638492;8968
13638596;8969
13638610;8970
13638645;8971
13638698;8972
13638732;8973
13638736;8974
13638738;8975
13638749;8976
13638788;8977
13638838;8978
13638851;8979
13638863;8980
13638865;8981
13638886;8982
13638888;8983
13638906;8984
